unix,elapsed_s,node,role,status,percent,online,total,retrying,cpu_pct,rss_mb
1783436579,30,0,master,Healthy,100,6,6,0,0.4,97
1783436579,30,1,master,Indexing,0,6,6,0,0.1,184
1783436579,30,2,master,Syncing,0,6,6,0,0.1,38
1783436579,30,3,viewer,Syncing,0,6,6,0,0.1,37
1783436579,30,4,viewer,Syncing,0,6,6,0,0.1,38
1783436579,30,5,viewer,Syncing,0,6,6,0,0.1,37
1783436609,60,0,master,Healthy,100,6,6,0,88.7,90
1783436609,60,1,master,Indexing,0,6,6,0,13.1,86
1783436609,60,2,master,Syncing,0,6,6,0,16.1,43
1783436609,60,3,viewer,Syncing,0,6,6,0,28.3,244
1783436609,60,4,viewer,Syncing,0,6,6,0,25.4,44
1783436609,60,5,viewer,Syncing,0,6,6,0,30.3,105
1783436640,90,0,master,Healthy,100,6,6,0,107.3,115
1783436640,90,1,master,Indexing,0,6,6,0,10.4,114
1783436640,90,2,master,Syncing,0,6,6,0,0.9,44
1783436640,90,3,viewer,Syncing,0,6,6,0,10.0,341
1783436640,90,4,viewer,Syncing,0,6,6,0,1.4,45
1783436640,90,5,viewer,Syncing,0,6,6,0,5.5,107
1783436671,121,0,master,Healthy,100,6,6,0,78.2,119
1783436672,121,1,master,Indexing,0,6,6,0,7.9,108
1783436672,121,2,master,Syncing,0,6,6,0,0.5,44
1783436672,121,3,viewer,Syncing,0,6,6,0,5.7,394
1783436672,121,4,viewer,Syncing,0,6,6,0,0.5,45
1783436672,121,5,viewer,Syncing,0,6,6,0,3.3,117
1783436703,153,0,master,Healthy,100,6,6,0,80.6,115
1783436703,153,1,master,Indexing,0,6,6,0,5.0,100
1783436703,153,2,master,Syncing,0,6,6,0,0.8,44
1783436703,153,3,viewer,Syncing,0,6,6,0,6.6,409
1783436703,153,4,viewer,Syncing,0,6,6,0,0.8,45
1783436703,153,5,viewer,Syncing,0,6,6,0,2.9,116
1783436735,184,0,master,Healthy,100,6,6,0,103.9,117
1783436735,184,1,master,Indexing,0,6,6,0,9.9,138
1783436735,184,2,master,Syncing,0,6,6,0,1.5,44
1783436735,184,3,viewer,Syncing,0,6,6,0,6.6,494
1783436735,184,4,viewer,Syncing,0,6,6,0,1.7,46
1783436792,184,5,viewer,Syncing,0,6,6,0,3.3,111
1783436822,273,0,master,Healthy,100,6,6,0,61.4,118
1783436822,273,1,master,Syncing,2,6,6,0,4.4,129
1783436822,273,2,master,Syncing,0,6,6,0,1.0,45
1783436822,273,3,viewer,Syncing,0,6,6,0,10.2,442
1783436822,273,4,viewer,Syncing,0,6,6,0,0.7,47
1783436822,273,5,viewer,Syncing,0,6,6,0,2.2,116
1783436853,303,0,master,Healthy,100,6,6,0,77.1,124
1783436999,303,1,master,Syncing,2,6,6,0,2.2,119
1783436999,303,2,master,Syncing,0,5,6,0,0.7,45
1783436999,303,3,viewer,Syncing,0,5,6,0,8.7,465
1783436999,303,4,viewer,Syncing,0,5,6,0,0.4,47
1783436999,303,5,viewer,Syncing,0,5,6,0,3.2,119
1783437030,479,0,master,Healthy,100,6,6,0,38.2,81
1783437030,479,1,master,Syncing,2,6,6,0,2.7,228
1783437030,479,2,master,Syncing,0,6,6,0,0.6,46
1783437030,479,3,viewer,Syncing,0,6,6,0,10.3,157
1783437030,479,4,viewer,Syncing,0,6,6,0,0.6,48
1783437030,479,5,viewer,Syncing,0,6,6,0,4.3,212
1783437061,511,0,master,Healthy,100,6,6,0,33.0,81
1783437061,511,1,master,Syncing,2,6,6,0,6.9,379
1783437061,511,2,master,Syncing,0,6,6,0,0.6,46
1783437061,511,3,viewer,Syncing,0,6,6,0,17.3,206
1783437061,511,4,viewer,Syncing,0,6,6,0,0.5,48
1783437061,511,5,viewer,Syncing,0,6,6,0,6.7,395
1783437091,541,0,master,Healthy,100,6,6,0,21.0,81
1783437092,541,1,master,Syncing,2,6,6,0,1.5,391
1783437093,541,2,master,Syncing,0,6,6,0,0.8,46
1783437093,541,3,viewer,Syncing,5,6,6,0,10.5,192
1783437093,541,4,viewer,Syncing,0,6,6,0,0.9,48
1783437093,541,5,viewer,Syncing,0,6,6,0,7.7,342
1783437123,574,0,master,Healthy,100,6,6,0,50.1,82
1783437123,574,1,master,Syncing,2,6,6,0,12.1,399
1783437123,574,2,master,Syncing,0,6,6,0,0.2,46
1783437123,574,3,viewer,Syncing,5,6,6,0,13.0,181
1783437123,574,4,viewer,Syncing,0,6,6,0,0.4,48
1783437123,574,5,viewer,Syncing,0,6,6,0,5.5,153
1783437158,604,0,master,Healthy,100,6,6,0,32.1,83
1783437158,604,1,master,Syncing,2,6,6,0,3.4,427
1783437158,604,2,master,Syncing,0,6,6,0,0.7,46
1783437158,604,3,viewer,Paused,0,6,6,0,5.0,165
1783437158,604,4,viewer,Syncing,0,6,6,0,1.1,48
1783437178,604,5,viewer,Syncing,1,6,6,0,1.5,154
1783437229,659,0,master,Healthy,100,4,6,0,36.8,83
1783437231,659,1,master,Syncing,2,6,6,0,5.0,435
1783437231,659,2,master,Syncing,0,6,6,0,0.5,47
1783437231,659,3,viewer,Paused,0,6,6,0,7.4,169
1783437231,659,4,viewer,Syncing,0,6,6,0,1.0,48
1783437231,659,5,viewer,Syncing,1,6,6,0,1.8,152
1783437261,711,0,master,Healthy,100,6,6,0,27.3,83
1783437261,711,1,master,Syncing,2,6,6,0,1.2,435
1783437261,711,2,master,Syncing,0,6,6,0,0.8,47
1783437261,711,3,viewer,Paused,0,6,6,0,1.9,173
1783437261,711,4,viewer,Syncing,0,6,6,0,0.6,48
1783437261,711,5,viewer,Syncing,1,6,6,0,1.0,153
1783437297,741,0,master,Healthy,100,6,6,0,33.5,84
1783437297,741,1,master,Syncing,2,6,6,0,1.2,435
1783437310,741,2,master,Syncing,0,6,6,0,0.4,47
1783437310,741,3,viewer,Paused,0,6,6,0,2.1,173
1783437312,741,4,viewer,Syncing,0,6,6,0,0.6,48
1783437317,741,5,viewer,Syncing,1,6,6,0,0.8,153
1783437359,803,0,master,Healthy,100,6,6,0,33.1,84
1783437360,803,1,master,Syncing,2,6,6,0,1.2,436
1783437365,803,2,master,Syncing,0,6,6,0,0.5,47
1783437365,803,3,viewer,Paused,0,6,6,0,1.6,174
1783437365,803,4,viewer,Syncing,0,6,6,0,0.5,48
1783437365,803,5,viewer,Syncing,1,6,6,0,0.9,152
1783437399,845,0,master,Healthy,100,6,6,0,12.7,84
1783437400,845,1,master,Syncing,2,6,6,0,1.7,436
1783437400,845,2,master,Syncing,0,6,6,0,0.7,47
1783437400,845,3,viewer,Paused,0,6,6,0,1.5,174
1783437400,845,4,viewer,Syncing,0,6,6,0,0.5,48
1783437400,845,5,viewer,Syncing,1,6,6,0,0.8,152
1783437432,881,0,master,Healthy,100,6,6,0,73.1,84
1783437432,881,1,master,Syncing,2,6,6,0,5.5,358
1783437445,881,2,master,Syncing,0,5,6,0,0.5,47
1783437445,881,3,viewer,Paused,0,5,6,0,6.6,148
1783437446,881,4,viewer,Syncing,0,5,6,0,0.9,48
1783438086,881,5,viewer,Syncing,2,6,6,0,1.7,153
1783438134,1567,0,master,Healthy,100,6,6,0,37.1,90
1783438135,1567,1,master,Syncing,5,6,6,0,1.4,165
1783438137,1567,2,master,Syncing,0,6,6,0,1.1,48
1783438137,1567,3,viewer,Paused,0,6,6,0,5.4,151
1783438137,1567,4,viewer,Syncing,0,6,6,0,0.8,49
1783438137,1567,5,viewer,Syncing,2,6,6,0,1.1,153
1783438170,1618,0,master,Healthy,100,6,6,0,24.0,90
1783438170,1618,1,master,Syncing,5,6,6,0,1.2,165
1783438171,1618,2,master,Syncing,0,6,6,0,0.5,48
1783438171,1618,3,viewer,Paused,0,6,6,0,2.7,139
