unix,elapsed_s,node,role,status,percent,online,total,retrying,cpu_pct,rss_mb
1783456144,566,0,master,Healthy,100,6,6,0,37.6,82
1783456144,566,1,master,Syncing,1,6,6,0,1.7,61
1783456144,566,2,master,Syncing,2,6,6,0,5.7,58
1783456144,566,3,viewer,Syncing,2,6,6,0,5.8,58
1783456144,566,4,viewer,Syncing,2,6,6,0,5.9,59
1783456144,566,5,viewer,Syncing,1,6,6,0,5.2,60
1783456174,598,0,master,Healthy,100,6,6,0,43.5,83
1783456174,598,1,master,Syncing,1,6,6,0,1.0,61
1783456177,598,2,master,Syncing,2,6,6,0,3.8,58
1783456177,598,3,viewer,Syncing,2,6,6,0,5.8,61
1783456177,598,4,viewer,Syncing,2,6,6,0,3.9,60
1783456177,598,5,viewer,Syncing,1,6,6,0,4.8,62
1783456208,631,0,master,Healthy,100,6,6,0,39.8,82
1783456208,631,1,master,Syncing,1,6,6,0,4.3,64
1783456208,631,2,master,Syncing,2,6,6,0,5.5,57
1783456208,631,3,viewer,Paused,0,6,6,0,6.7,61
1783456208,631,4,viewer,Syncing,2,6,6,0,5.3,59
1783456208,631,5,viewer,Syncing,2,6,6,0,8.3,58
1783456238,662,0,master,Healthy,100,6,6,0,42.4,83
1783456245,662,1,master,Syncing,1,6,6,0,7.7,56
1783456248,662,2,master,Syncing,2,6,6,0,6.0,61
1783456248,662,3,viewer,Paused,0,6,6,0,6.3,59
1783456248,662,4,viewer,Syncing,3,6,6,0,8.1,60
1783456248,662,5,viewer,Syncing,2,6,6,0,5.1,65
1783456279,702,0,master,Healthy,100,6,6,0,40.9,84
1783456279,702,1,master,Syncing,1,6,6,0,6.2,59
1783456279,702,2,master,Syncing,2,6,6,0,7.1,61
1783456279,702,3,viewer,Paused,0,6,6,0,2.9,61
1783456280,702,4,viewer,Syncing,3,6,6,0,10.3,59
1783456281,702,5,viewer,Syncing,2,6,6,0,7.8,61
1783456312,735,0,master,Healthy,100,6,6,0,40.4,82
1783456314,735,1,master,Syncing,2,6,6,0,4.9,60
1783456315,735,2,master,Syncing,2,6,6,0,6.7,60
1783456315,735,3,viewer,Paused,0,6,6,0,1.9,60
1783456315,735,4,viewer,Syncing,3,6,6,0,6.7,63
1783456316,735,5,viewer,Syncing,3,6,6,0,8.7,61
1783456347,770,0,master,Healthy,100,6,6,0,41.8,83
1783456347,770,1,master,Syncing,2,6,6,0,7.9,64
1783456347,770,2,master,Syncing,3,6,6,0,6.2,60
1783456347,770,3,viewer,Paused,0,6,6,0,2.7,59
1783456347,770,4,viewer,Syncing,3,6,6,0,5.4,61
1783456347,770,5,viewer,Syncing,3,6,6,0,5.1,62
1783456397,800,1,master,Syncing,2,6,6,0,6.6,59
1783456398,800,2,master,Syncing,3,6,6,0,6.3,65
1783456398,800,3,viewer,Paused,0,6,6,0,2.3,59
1783456398,800,4,viewer,Syncing,4,6,6,0,6.5,70
1783456398,800,5,viewer,Syncing,3,6,6,0,30.0,63
1783456429,852,0,master,Healthy,100,6,6,0,56.5,81
1783456429,852,1,master,Syncing,2,6,6,0,4.8,60
1783456444,852,3,viewer,Paused,0,6,6,0,1.0,60
1783456446,852,4,viewer,Syncing,4,6,6,0,6.6,61
1783456448,852,5,viewer,Syncing,6,5,6,0,14.5,67
1783456485,902,0,master,Healthy,100,6,6,0,36.5,82
1783456495,902,1,master,Syncing,3,6,6,0,3.8,60
1783456505,902,2,master,Syncing,4,6,6,0,4.7,66
1783456505,902,3,viewer,Paused,0,6,6,0,0.9,60
1783456505,902,4,viewer,Syncing,4,6,6,0,5.0,70
1783456505,902,5,viewer,Syncing,6,6,6,0,8.1,65
1783456537,959,0,master,Healthy,100,6,6,0,9.3,83
1783456537,959,1,master,Syncing,3,6,6,0,4.0,62
1783456537,959,2,master,Syncing,4,6,6,0,3.7,64
1783456537,959,3,viewer,Paused,0,6,6,0,1.3,60
1783456537,959,4,viewer,Syncing,4,6,6,0,2.5,68
1783456537,959,5,viewer,Syncing,6,6,6,0,3.6,63
1783456568,991,0,master,Healthy,100,6,6,0,3.5,84
1783456569,991,1,master,Syncing,3,6,6,0,6.8,60
1783456569,991,2,master,Syncing,4,6,6,0,4.7,67
1783456569,991,3,viewer,Paused,0,6,6,0,0.9,60
1783456569,991,4,viewer,Syncing,4,6,6,0,2.4,67
1783456569,991,5,viewer,Syncing,6,6,6,0,2.5,63
1783456599,1023,0,master,Healthy,100,6,6,0,9.0,86
1783456599,1023,1,master,Syncing,3,6,6,0,5.6,65
1783456599,1023,2,master,Syncing,4,6,6,0,6.4,73
1783456599,1023,3,viewer,Paused,0,6,6,0,3.5,58
1783456599,1023,4,viewer,Syncing,4,6,6,0,4.4,70
1783456613,1023,5,viewer,Syncing,9,6,6,0,5.3,61
1783456647,1067,0,master,Healthy,100,2,6,0,19.3,84
1783456651,1067,1,master,Syncing,4,5,6,0,2.2,61
1783456651,1067,2,master,Syncing,5,5,6,0,2.5,65
1783456651,1067,3,viewer,Paused,0,5,6,0,1.0,58
1783456651,1067,4,viewer,Syncing,5,6,6,0,0.7,66
1783456652,1067,5,viewer,Syncing,9,5,6,0,13.6,63
1783456682,1105,0,master,Healthy,100,6,6,0,2.3,83
1783456682,1105,1,master,Syncing,4,6,6,0,5.0,66
1783456682,1105,2,master,Syncing,5,6,6,0,5.1,68
1783456682,1105,3,viewer,Paused,0,6,6,0,0.7,59
1783456683,1105,4,viewer,Syncing,6,6,6,0,22.8,65
1783456685,1105,5,viewer,Syncing,12,6,6,0,25.5,61
1783456717,1138,0,master,Healthy,100,6,6,0,4.3,84
1783456717,1138,1,master,Syncing,4,6,6,0,5.1,69
1783456717,1138,2,master,Syncing,5,6,6,0,4.2,65
1783456717,1138,3,viewer,Paused,0,6,6,0,1.3,59
1783456718,1138,4,viewer,Syncing,11,6,6,0,26.1,64
1783456718,1138,5,viewer,Syncing,12,6,6,0,33.4,64
1783456748,1172,0,master,Healthy,100,6,6,0,24.4,85
1783456748,1172,1,master,Syncing,4,6,6,0,6.1,71
1783456763,1172,3,viewer,Paused,0,5,6,0,1.4,59
1783456763,1172,4,viewer,Syncing,12,5,6,0,18.1,67
1783456763,1172,5,viewer,Syncing,13,5,6,0,6.3,62
1783456796,1217,0,master,Healthy,100,6,6,0,8.9,86
1783456798,1217,1,master,Syncing,5,6,6,0,6.9,64
1783456798,1217,2,master,Syncing,5,6,6,0,4.4,66
1783456798,1217,3,viewer,Paused,0,6,6,0,2.5,60
1783456798,1217,4,viewer,Syncing,13,6,6,0,6.3,67
1783456805,1217,5,viewer,Syncing,13,6,6,0,5.7,62
1783456837,1259,0,master,Healthy,100,6,6,0,15.4,86
1783456837,1259,1,master,Syncing,5,6,6,0,6.1,67
1783456852,1259,3,viewer,Paused,0,5,6,0,1.8,60
1783456852,1259,4,viewer,Syncing,13,5,6,0,20.4,72
